DICO: 2024/01/25 12:26:30 logger.go:36: [/api/words/remove/gddddoo] Requête reçue : DELETE /api/words/remove/gddddoo
DICO: 2024/01/25 12:26:30 logger.go:36: [/api/words/remove/gddddoo] Requête reçue : DELETE /api/words/remove/gddddoo
DICO: 2024/01/25 12:26:30 logger.go:36: [/api/words/remove/gddddoo] Requête reçue : DELETE /api/words/remove/gddddoo
DICO: 2024/01/25 12:26:31 logger.go:36: [/api/words/remove/gddddoo] Requête reçue : DELETE /api/words/remove/gddddoo
DICO: 2024/01/25 12:26:31 logger.go:36: [/api/words/remove/gddddoo] Requête reçue : DELETE /api/words/remove/gddddoo
DICO: 2024/01/25 12:26:31 logger.go:36: [/api/words/remove/gddddoo] Requête reçue : DELETE /api/words/remove/gddddoo
DICO: 2024/01/25 12:26:31 logger.go:36: [/api/words/remove/gddddoo] Requête reçue : DELETE /api/words/remove/gddddoo
DICO: 2024/01/25 12:30:11 logger.go:36: [runAPIMode] Server started on :8080
DICO: 2024/01/25 12:30:16 logger.go:36: [/api/words/remove/gddddoo] Requête reçue : DELETE /api/words/remove/gddddoo
DICO: 2024/01/25 12:30:27 logger.go:36: [/api/words/remove/gooooo] Requête reçue : DELETE /api/words/remove/gooooo
DICO: 2024/01/25 12:30:28 logger.go:36: [/api/words/remove/gooooo] Requête reçue : DELETE /api/words/remove/gooooo
DICO: 2024/01/25 12:30:28 logger.go:36: [/api/words/remove/gooooo] Requête reçue : DELETE /api/words/remove/gooooo
DICO: 2024/01/25 12:30:29 logger.go:36: [/api/words/remove/gooooo] Requête reçue : DELETE /api/words/remove/gooooo
DICO: 2024/01/25 12:30:29 logger.go:36: [/api/words/remove/gooooo] Requête reçue : DELETE /api/words/remove/gooooo
DICO: 2024/01/25 12:30:29 logger.go:36: [/api/words/remove/gooooo] Requête reçue : DELETE /api/words/remove/gooooo
DICO: 2024/01/25 12:30:29 logger.go:36: [/api/words/remove/gooooo] Requête reçue : DELETE /api/words/remove/gooooo
DICO: 2024/01/25 12:30:29 logger.go:36: [/api/words/remove/gooooo] Requête reçue : DELETE /api/words/remove/gooooo
DICO: 2024/01/25 12:30:30 logger.go:36: [/api/words/remove/gooooo] Requête reçue : DELETE /api/words/remove/gooooo
DICO: 2024/01/25 12:30:30 logger.go:36: [/api/words/remove/gooooo] Requête reçue : DELETE /api/words/remove/gooooo
DICO: 2024/01/25 12:30:30 logger.go:36: [/api/words/remove/gooooo] Requête reçue : DELETE /api/words/remove/gooooo
DICO: 2024/01/25 12:31:05 logger.go:36: [/securityRealm/user/admin/search/index] Requête reçue : GET /securityRealm/user/admin/search/index
DICO: 2024/01/25 12:32:50 logger.go:36: [/] Requête reçue : GET /
DICO: 2024/01/25 12:33:47 logger.go:36: [runAPIMode] Server started on :8080
DICO: 2024/01/25 12:33:56 logger.go:36: [/api/words/remove/gooooo] Requête reçue : DELETE /api/words/remove/gooooo
DICO: 2024/01/25 12:33:57 logger.go:36: [/api/words/remove/gooooo] Requête reçue : DELETE /api/words/remove/gooooo
DICO: 2024/01/25 12:34:11 logger.go:36: [/api/words/remove/go] Requête reçue : DELETE /api/words/remove/go
DICO: 2024/01/25 12:34:12 logger.go:36: [/api/words/remove/go] Requête reçue : DELETE /api/words/remove/go
